"time" "Control" "Dose 1" "Dose 2" "Dose 3" "Dose 4" "Dose 5" "Dose 6" "Dose 7" "Dose 8" "Dose 9" "Dose 10" "Dose 11"
"1" 2192 80 80 80 80 80 80 80 80 80 80 80 80
"2" 2193 79.4768707868079 79.4768662302397 79.476866162433 79.4768661283728 79.4768664074143 79.4768664591997 79.4768663243335 79.476866054807 79.4768661473344 79.4768667712881 79.4768660364537 79.476866039604
"3" 2194 78.9970286279595 78.9970284168497 78.9970288192727 78.997028526516 78.9970286401154 78.9970291517211 78.997029008281 78.9970285555268 78.9970285355413 78.997029363978 78.997027884072 78.9970252465418
"4" 2195 78.5674164316423 78.5674048387438 78.5674057266882 78.5674032819238 78.5674034659336 78.5674045724584 78.5674043590567 78.5674048265492 78.5674048841284 78.5673894444499 78.5673083376583 78.5668311149807
"5" 2196 78.225485768221 78.2254557888904 78.2254559125518 78.2254521981685 78.22545231366 78.2254520301554 78.2254520622869 78.2254527377245 78.2254453180468 78.2253860538902 78.2250640480357 78.2237719407228
"6" 2197 78.0022019469499 78.0021870327158 78.0021950205059 78.0021797474175 78.0021821247204 78.0021877934735 78.0021759487078 78.0021651758892 78.0021691878393 78.0021093468103 78.0017229747101 78.0004157387849
"7" 2198 77.7903592769392 77.7903109476625 77.7903176196 77.7902856905413 77.7903170163843 77.7902493933818 77.7902730747678 77.7902427115806 77.7903175561033 77.7902296133279 77.7897873096395 77.7885006680639
"8" 2199 77.5550911233327 77.5550382399808 77.5550429422966 77.555015744929 77.5550418291273 77.5549749914283 77.5550024667938 77.554969085305 77.5550179562896 77.5548617391981 77.5543921936259 77.553106301601
"9" 2200 77.3309395132962 77.3308903881278 77.3308947968805 77.3308678533978 77.3308936196307 77.3308263087804 77.3308519084406 77.3308100041492 77.3308293183679 77.3306396038592 77.3301609695275 77.3288765972786
"10" 2201 77.1003878065074 77.100333491145 77.1003437108594 77.1003355981354 77.1003616788137 77.100282295358 77.1003181125426 77.100258038012 77.1002306997072 77.1000066198995 77.0995209049373 77.0982409602212
"11" 2202 76.8003389174777 76.800228915622 76.8002536174573 76.8002512956079 76.8002685307657 76.8001586509498 76.8001643537518 76.7997845586497 76.7991858305696 76.7986625694273 76.7981183621194 76.7968322311815
"12" 2203 76.4129925992562 76.4128189253478 76.412840244355 76.412836936615 76.4128430852088 76.4126811576862 76.412347176087 76.4104006780814 76.4071746949402 76.4055154463077 76.4047573709774 76.4034447199404
"13" 2204 76.0722793783801 76.0720335990415 76.0720589749777 76.0720512087575 76.0720527224302 76.0718593331091 76.071337277706 76.0685504950994 76.0640956106648 76.0619629912357 76.0611141627548 76.059796764714
"14" 2205 75.7658466181915 75.7656192403864 75.7656494978802 75.7656301504443 75.7655205246683 75.765313724848 75.7648221907831 75.7615946842884 75.7566814009295 75.7544183437094 75.7535407968403 75.7522694584398
"15" 2206 75.3528840346907 75.3525813144498 75.3526559442659 75.3526246327317 75.3525595898348 75.3519746770917 75.349924455924 75.341020437104 75.3296361588222 75.3255849779925 75.3244047028181 75.3230935653378
"16" 2207 74.8609005790055 74.86056998051 74.8606683708823 74.86064557903 74.8603881783285 74.8588322552596 74.850656569433 74.8201513601342 74.7864802580266 74.7758546375692 74.7734594717978 74.7721146222295
"17" 2208 74.4118241346499 74.4115239256472 74.4115294104498 74.4116384777371 74.4112232855408 74.409300065401 74.3980284197505 74.3572090051064 74.3131630808198 74.2996193264247 74.2966009187678 74.2951840138488
"18" 2209 74.0140740577803 74.0137533325526 74.0137591396064 74.0138742268396 74.0134240370913 74.0113655893289 73.999072124448 73.9550491764684 73.9079259126297 73.893526361668 73.890344033404 73.8888880209533
"19" 2210 73.6548496070324 73.6546547762578 73.6546377827166 73.6547694331509 73.6543013981643 73.6522626167392 73.639474318832 73.5937827188357 73.5450748043902 73.5302613768452 73.5269542656256 73.5255625851
"20" 2211 73.3691337681096 73.3690411293693 73.3690040854819 73.3690511794676 73.3686346573044 73.3665851055224 73.3537955830004 73.3079290708426 73.2590288527701 73.2441647367246 73.2408692644607 73.2394753060102
"21" 2212 73.0875105636958 73.0873506869681 73.0872552895149 73.0873205262885 73.0868970836845 73.084840011195 73.0720213586341 73.026041936802 72.9769610758855 72.9620782012954 72.9587527144195 72.9573556793528
"22" 2213 72.7678242273737 72.7676644404703 72.767571368477 72.7676285855376 72.7672058311857 72.7651223575313 72.7521486907957 72.7056111218634 72.6559467677718 72.6408976160659 72.6375456775344 72.6361557324163
"23" 2214 72.4221178030961 72.4219596041899 72.4218534923991 72.4219054481579 72.4214832423132 72.419366120214 72.4060773435483 72.3584041303426 72.307454660408 72.2920104250614 72.2885664423453 72.2872079681692
"24" 2215 72.0098148401134 72.0096430902722 72.009509207625 72.0095452877043 72.0090984092883 72.0067468052093 71.9920107396291 71.9386457716509 71.8809279086651 71.8632874700349 71.8594466937317 71.8580096762726
"25" 2216 71.547592822233 71.5474148063703 71.5472778310705 71.5473011459178 71.5467650497686 71.5438014655588 71.5253111645795 71.4567442060829 71.3793755066908 71.354968875998 71.3499368282621 71.3483189769846
"26" 2217 71.0844900252937 71.0843276791637 71.0841796929303 71.0841992024837 71.0835634160782 71.07998454396 71.0576668041222 70.9728963683252 70.8727260616094 70.8399409904223 70.8334018768495 70.8315841102843
"27" 2218 70.6216402396043 70.6214814451157 70.6213316350422 70.6213361182498 70.620606271492 70.6163937091843 70.5900887628656 70.4875890736262 70.359931246143 70.3162249199923 70.307673123619 70.3055557717792
