"time" "Control" "Dose 1" "Dose 2" "Dose 3" "Dose 4" "Dose 5" "Dose 6" "Dose 7" "Dose 8" "Dose 9" "Dose 10" "Dose 11" "Dose 12" "Dose 13" "Dose 14" "Dose 15" "Dose 16"
"1" 2192 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
"2" 2193 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464 99.3935833750464
"3" 2194 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718 98.7992518581718
"4" 2195 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212 98.392269843212
"5" 2196 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123 97.8066194340123
"6" 2197 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672 97.1222485332672
"7" 2198 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788 96.4420192557788
"8" 2199 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502 95.7750165976502
"9" 2200 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759 95.131369231759
"10" 2201 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568 94.4811243218568
"11" 2202 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725 93.828893123725
"12" 2203 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022 93.2321491421022
"13" 2204 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405 92.7133573113405
"14" 2205 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343 92.1193060197343
"15" 2206 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643 91.5029363942643
"16" 2207 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617 90.8922684687617
"17" 2208 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444 90.3519625155444
"18" 2209 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528 89.8903395055528
"19" 2210 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064 89.3386033081064
