Time	Conc
2206.417	0.0036
2206.458	0.00361
2206.5	0.00361
2206.542	0.00362
2206.583	0.00362
2206.625	0.00363
2206.667	0.00363
2206.708	0.00364
2206.75	0.00364
2206.792	0.00365
2206.833	0.00365
2206.875	0.00366
2206.917	0.00366
2206.958	0.00367
2207	0.00368
2207.042	0.00368
2207.083	0.00369
2207.125	0.00369
2207.167	0.0037
2207.208	0.0037
2207.25	0.00371
2207.292	0.00371
2207.333	0.00372
2207.375	0.00372
2207.417	0.00373
2207.458	0.00373
2207.5	0.00374
2207.542	0.00374
2207.583	0.00375
2207.625	0.00375
2207.667	0.00376
2207.708	0.00376
2207.75	0.00377
2207.792	0.00377
2207.833	0.00378
2207.875	0.00378
2207.917	0.00379
2207.958	0.00379
2208	0.0038
2208.042	0.0038
2208.083	0.00381
2208.125	0.00381
2208.167	0.00382
2208.208	0.00382
2208.25	0.00383
2208.292	0.00383
2208.333	0.00384
2208.375	0.00384
2208.417	0.00384
2208.458	0.00384
2208.5	0.00385
2208.542	0.00385
2208.583	0.00385
2208.625	0.00386
2208.667	0.00386
2208.708	0.00386
2208.75	0.00387
2208.792	0.00387
2208.833	0.00387
2208.875	0.00388
2208.917	0.00388
2208.958	0.00388
2209	0.00389
2209.042	0.00389
2209.083	0.0039
2209.125	0.0039
2209.167	0.0039
2209.208	0.00391
2209.25	0.00391
2209.292	0.00391
2209.333	0.00392
2209.375	0.00392
2209.417	0.00392
2209.458	0.00393
2209.5	0.00393
2209.542	0.00394
2209.583	0.00394
2209.625	0.00394
2209.667	0.00395
2209.708	0.00395
2209.75	0.00395
2209.792	0.00396
2209.833	0.00396
2209.875	0.00396
2209.917	0.00397
2209.958	0.00397
2210	0.00398
2210.042	0.00398
2210.083	0.00398
2210.125	0.00399
2210.167	0.00399
2210.208	0.004
2210.25	0.004
2210.292	0.004
2210.333	0.00401
2210.375	0.00401
2210.417	0.00402
2210.458	0.00402
2210.5	0.00402
2210.542	0.00403
2210.583	0.00403
2210.625	0.00404
2210.667	0.00404
2210.708	0.00404
2210.75	0.00405
2210.792	0.00405
2210.833	0.00406
2210.875	0.00406
2210.917	0.00406
2210.958	0.00407
2211	0.00407
2211.042	0.00407
2211.083	0.00407
2211.125	0.00396
2211.167	0.00383
2211.208	0.00365
2211.25	0.00351
2211.292	0.00341
2211.333	0.00335
2211.375	0.00331
2211.417	0.00329
2211.458	0.00328
2211.5	0.00329
2211.542	0.00329
2211.583	0.0033
2211.625	0.00331
2211.667	0.00333
2211.708	0.00334
2211.75	0.00336
2211.792	0.00337
2211.833	0.00339
2211.875	0.0034
2211.917	0.00342
2211.958	0.00344
2212	0.00345
2212.042	0.00347
2212.083	0.00347
2212.125	0.00347
2212.167	0.00346
2212.208	0.00343
2212.25	0.0034
2212.292	0.00338
2212.333	0.00337
2212.375	0.00336
2212.417	0.00335
2212.458	0.00334
2212.5	0.00334
2212.542	0.00334
2212.583	0.00334
2212.625	0.00334
2212.667	0.00334
2212.708	0.00335
2212.75	0.00336
2212.792	0.00336
2212.833	0.00337
2212.875	0.00338
2212.917	0.00339
2212.958	0.0034
2213	0.00341
2213.042	0.00342
2213.083	0.00343
2213.125	0.00343
2213.167	0.00344
2213.208	0.00343
2213.25	0.00342
2213.292	0.00341
2213.333	0.0034
2213.375	0.0034
2213.417	0.00339
2213.458	0.00339
2213.5	0.00338
2213.542	0.00338
2213.583	0.00338
2213.625	0.00338
2213.667	0.00339
2213.708	0.00339
2213.75	0.00339
2213.792	0.0034
2213.833	0.0034
2213.875	0.00341
2213.917	0.00342
2213.958	0.00342
2214	0.00343
2214.042	0.00344
